title,genre,year,score,salesPoint
리 크로닌의 미이라,"공포, 미스터리",2026,8.1,699101
톰 클랜시의 잭 라이언: 고스트 워,"액션, 스릴러",2026,7.2,492658
퍼니셔 원 라스트 킬,"액션, 드라마, 범죄",2026,8.4,377458
프로젝트 헤일메리,"SF, 모험",2026,8.6,351845
슈퍼 마리오 갤럭시,"가족, 코미디, 모험, 판타지, 애니메이션",2026,8.0,335754
옵세션,공포,2026,7.9,332564
뒤바뀐 친구들의 신비한 모험,"모험, 애니메이션, 가족, 판타지",2026,9.0,302087
두란다르: 더 리벤지,"액션, 범죄, 스릴러",2026,7.4,297425
Твоё сердце будет разбито,"로맨스, 드라마",2026,6.7,249936
पति पत्नी और वो दो,코미디,2026,7.7,220546
모탈 컴뱃 2,"액션, 판타지, 모험",2026,6.8,198021
만달로리안과 그로구,"액션, 모험, SF",2026,6.8,183024
악마는 프라다를 입는다,"드라마, 코미디",2006,7.4,170187
모탈 컴뱃,"액션, 판타지, 모험",2021,7.0,169652
시스템,스릴러,2026,7.5,168030
정점,"액션, 스릴러",2026,6.7,151275
아바타: 불과 재,"SF, 모험, 판타지",2025,7.5,147816
포풍추영,"액션, 범죄, 드라마, 스릴러",2025,7.4,148696
그래픽 디자이어,"스릴러, 범죄",2023,7.1,141209
Mortal Game,"공포, 액션",2025,4.9,125891
레이디스 퍼스트: 거꾸로 가는 남자,"코미디, 판타지",2026,5.8,130412
호퍼스,"모험, 애니메이션, 코미디, 가족, SF",2026,8.1,128708
극장판 귀멸의 칼날: 무한성편,"애니메이션, 액션, 판타지",2025,7.7,122167
비스트,"액션, 드라마",2026,6.3,120912
마이클,"음악, 드라마",2026,7.6,120280
"카르타비아, 나의 의무","범죄, 드라마, 스릴러",2026,6.2,119956
고트: 더 레전드,"애니메이션, 코미디, 가족",2026,8.1,117901
चाँद मेरा दिल,"로맨스, 드라마",2026,0.0,111131
월드브레이커,"SF, 액션, 공포",2025,5.9,110295
கருப்பு,"판타지, 액션, 드라마",2026,7.3,105902
님포매니악: 볼륨 2,"드라마, 미스터리",2013,6.7,103074
두란다르,"액션, 범죄, 스릴러",2025,7.1,100267
데미지,"드라마, 로맨스",1992,6.6,96822
आखरी सवाल,"드라마, 스릴러",2026,1.0,95471
Vacanze per un massacro,"스릴러, 액션, 범죄",1980,4.9,91941
애프터: 관계의 함정,"드라마, 로맨스",2021,7.0,89661
레디 오어 낫 2,"스릴러, 공포, 코미디",2026,7.7,87918
아쿠아리움이 문을 닫으면,"드라마, 미스터리",2026,8.5,86951
Socias por accidente,"코미디, 로맨스",2026,9.1,85603
친애하는 나의 킬러,"액션, 드라마, 로맨스",2026,8.6,83718
भूत बंगला,"공포, 코미디",2026,6.5,87426
주토피아 2,"액션, 모험, 애니메이션, 코미디, 가족, 미스터리",2025,7.6,84607
The Last Supper,공포,2025,0.0,75412
Psicópata: El Asesino del Conejo Blanco,"스릴러, 공포",2026,7.4,82982
하우스메이드,"미스터리, 스릴러",2025,7.3,70879
인터스텔라,"모험, 드라마, SF",2014,8.5,81083
The Sheep Detectives,"코미디, 가족, 미스터리",2026,7.6,75249
미이라,"모험, 액션, 판타지",1999,7.0,53630
쉘터,"액션, 범죄, 스릴러",2026,7.6,74933
아앙: 더 라스트 에어벤더,"애니메이션, 액션, 모험, 판타지",2026,0.0,75598
Disforia,"공포, 스릴러",2025,5.0,82880
쇼생크 탈출,"드라마, 범죄",1994,8.7,73892
Cisza nocna,"공포, 드라마, 미스터리",2024,4.7,73260
제로 우먼 2,"액션, 스릴러",1995,5.0,62435
마이클 잭슨: 더 라이프 오브 언 아이콘,"다큐멘터리, 음악",2011,8.1,66653
कृष्णावतरम भाग 1: हृदय (हृदयम्),"모험, 로맨스, 드라마",2026,8.5,67034
프레데터: 죽음의 땅,"액션, SF, 모험",2025,7.7,65883
노멀,"액션, 범죄, 스릴러",2026,6.5,55343
그린랜드 2,"모험, 스릴러, SF",2026,6.4,65961
군체,"액션, 스릴러, 공포",2026,6.5,69049
राजा शिवाजी,"액션, 역사, 드라마",2026,9.0,68479
우주전쟁,"SF, 스릴러",2025,4.1,59229
From Straight A's to XXX,"드라마, TV 영화",2017,5.8,61492
킬링 미션,"액션, 스릴러",2026,5.2,58676
ദൃശ്യം 3,"범죄, 드라마, 스릴러",2026,6.5,62815
어벤져스,"SF, 액션, 모험",2012,8.0,55429
악마는 프라다를 입는다 2,"코미디, 드라마",2026,6.6,55599
복수,"액션, 스릴러",2026,7.5,55574
데이 윌 킬 유,"액션, 코미디, 공포",2026,7.0,55412
어린 아내,"드라마, 로맨스",2024,6.5,50093
스크림 7,"공포, 미스터리, 범죄",2026,6.1,57073
아포칼립토,"액션, 드라마, 역사",2006,7.6,52000
La ragazzina,"로맨스, 드라마",1974,4.7,59258
미이라 2,"모험, 액션, 판타지",2001,6.4,34537
TN 2026,"코미디, 드라마",2026,0.0,51732
리얼 스틸,"액션, SF, 드라마",2011,7.1,59083
백룸,"공포, 미스터리, SF",2026,6.1,90521
어벤져스: 인피니티 워,"모험, 액션, SF",2018,8.2,50644
ஜன நாயகன்,"액션, 드라마, SF",0,0.0,46706
대부,"드라마, 범죄",1972,8.7,47845
오버 유어 데드 바디,"액션, 코미디, 스릴러",2026,7.2,89046
직장상사 길들이기,"공포, 스릴러, 코미디",2026,7.0,47546
나의 잘못,"드라마, 로맨스, 스릴러",2023,7.7,42891
무명의 남자,드라마,2021,7.8,47138
워 머신: 전쟁 기계,"액션, SF, 스릴러",2026,7.3,47837
Dime lo que quieres (de verdad),"로맨스, 드라마, 코미디",2023,7.8,54410
Sundutan,드라마,2026,4.0,53605
컨저링: 마지막 의식,공포,2025,6.9,46039
드라큘라: 어 러브 테일,"공포, 판타지, 로맨스",2025,7.1,48833
크라임 101,"범죄, 스릴러",2026,7.0,47859
크라켄,"공포, 액션, 스릴러",2026,5.8,46349
Bingo Bongo,코미디,1982,5.7,88635
다크 나이트,"액션, 범죄, 스릴러",2008,8.5,48887
50가지 그림자: 해방,"드라마, 로맨스",2018,6.7,47376
Wormtown,"SF, 공포, 모험",2025,5.8,41594
देऊळ बँड 2,"코미디, 드라마",2026,0.0,52509
വാഴ II,"코미디, 드라마",2026,7.1,41457
유혹의 시간,드라마,2024,5.8,50124
മധുവിധു,"가족, 코미디, 드라마",2026,7.0,43437
Indian Institute of Zombies,"코미디, 공포",2026,0.0,36475
Rise of the Conqueror,"역사, 액션, 모험, 전쟁",2026,5.9,40836
스파이더맨: 노 웨이 홈,"액션, 모험, SF",2021,7.9,42352
타이타닉,"드라마, 로맨스",1997,7.9,42422
Uykucu,"액션, 스릴러, 드라마",2025,6.0,38813
โอมุคาเดะ,"공포, 스릴러, 전쟁",2026,5.0,37849
마더 메리,"음악, 드라마, 스릴러",2026,5.9,33561
시에라 마드레: 카르텔 전쟁,"액션, 스릴러, 미스터리, 드라마",2026,6.0,40644
하우 투 해브 섹스,드라마,2023,6.2,40095
애딕티드,"드라마, 스릴러",2014,5.9,46670
패신저,"공포, 스릴러",2026,6.0,38653
매트릭스,"액션, SF",1999,8.2,40728
