title,artist,genre,year,salesPoint,category,country,currency,previewUrl,artworkUrl,trackViewUrl
toxic till the end,로제,한국 록,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/6f/bd/d8/6fbdd87e-c958-74d6-3215-633bcc550654/mzaf_17183830555505448544.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/4d/cb/54/4dcb5453-7493-cd68-81f8-fc7ae28101ce/8800287299416_cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/toxic-till-the-end/1783280221?i=1783280225&uo=4
Supernova,aespa,K-Pop,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/cb/a5/34/cba5340f-feac-7e85-0d62-c687a5da7524/mzaf_5508662312740645025.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/2b/9b/4e/2b9b4ef2-85f3-1880-934f-9a45f8480cfb/888735947483.png/100x100bb.jpg,https://music.apple.com/kr/album/supernova/1745281747?i=1745281749&uo=4
REDRED,코르티스,K-Pop,2026,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b9/a9/23/b9a92352-f4a2-fd4e-c2de-4985bc38133c/mzaf_7598194542973128311.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/9b/5f/47/9b5f4711-dc78-2dea-6721-d06709ea5121/198704992810_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/redred/1887671065?i=1887671067&uo=4
첫 만남은 계획대로 되지 않아,투어스,K-Pop,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/6d/ef/2e/6def2e82-f3d9-8caf-a926-3f0e5f1dc393/mzaf_3983572529751176134.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/17/bb/d4/17bbd45f-fee7-a9dd-ff01-e7b174cc1462/196922759543_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EC%B2%AB-%EB%A7%8C%EB%82%A8%EC%9D%80-%EA%B3%84%ED%9A%8D%EB%8C%80%EB%A1%9C-%EB%90%98%EC%A7%80-%EC%95%8A%EC%95%84/1723932647?i=1723932648&uo=4
Attention,뉴진스,K-Pop,2022,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/13/33/80/13338088-6e32-3cb4-818b-d3d5b4d46c60/mzaf_6427935611641023860.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/4e/64/34/4e64344b-3ac6-c503-2c41-257a15401416/192641873096_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/attention/1635469682?i=1635469694&uo=4
Magnetic,아일릿,K-Pop,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/e8/7e/67/e87e6795-4ada-2f65-d562-1fd2a3eddfdf/mzaf_11263458879279601822.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/3e/49/1e/3e491e43-4961-21ab-2abe-37fb1c0feb40/196922879227_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/magnetic/1734500886?i=1734500896&uo=4
How Sweet,뉴진스,K-Pop,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/4d/f8/ec/4df8ec06-579b-0b92-1c4d-d8714cc5d1bc/mzaf_8361635933595309894.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/bf/68/ca/bf68ca64-4acd-543f-bc78-455f11f06105/196922889738_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/how-sweet/1744448415?i=1744448416&uo=4
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",악뮤,K-Pop,2019,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5f/49/ec/5f49ec33-0382-1d38-3305-92ac29830124/mzaf_4961716108125658109.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/e4/a2/80/e4a28015-490b-255a-ff26-aadd6257cfa1/AKMU_DS.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EC%96%B4%EB%96%BB%EA%B2%8C-%EC%9D%B4%EB%B3%84%EA%B9%8C%EC%A7%80-%EC%82%AC%EB%9E%91%ED%95%98%EA%B2%A0%EC%96%B4-%EB%84%90-%EC%82%AC%EB%9E%91%ED%95%98%EB%8A%94-%EA%B1%B0%EC%A7%80/1480802547?i=1480802550&uo=4
Bye Bye My Blue,백예린,K-Pop,2016,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c0/ec/07/c0ec07fb-3fc8-361b-aa3d-64ada14923cd/mzaf_1814773403894407249.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/d3/3b/6d/d33b6d23-795d-2b29-89fe-88170cbfbf4d/online_cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/bye-bye-my-blue/1125890995?i=1125891115&uo=4
봄여름가을겨울 (Still Life),BIGBANG,K-Pop,2022,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/40/d5/da/40d5da18-331e-484d-a56b-2e4fd13a9937/mzaf_7739282137672006658.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/f6/67/3a/f6673a7c-e2bc-8084-f8b6-523cad1ab277/BIGBANG_Still_Life.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EB%B4%84%EC%97%AC%EB%A6%84%EA%B0%80%EC%9D%84%EA%B2%A8%EC%9A%B8-still-life/1616762362?i=1616762366&uo=4
