title,genre,year,score,salesPoint,posterUrl
옵세션,공포,2026,7.9,669552,https://image.tmdb.org/t/p/w500/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg
모탈 컴뱃 2,"액션, 판타지, 모험",2026,8.0,579154,https://image.tmdb.org/t/p/w500/1NgBKiPrJzv1VHdEN8brdy59Rxo.jpg
마이클,"음악, 드라마",2026,8.6,556814,https://image.tmdb.org/t/p/w500/piMZqtd0gGS7OgkhDwiQ7vVViBQ.jpg
디스클로저 데이,"액션, SF, 스릴러",2026,6.8,375017,https://image.tmdb.org/t/p/w500/86EdVHOEFjFNPeE0sWjpCqcUORj.jpg
원초적 불륜,"드라마, 로맨스",2024,4.7,235268,https://image.tmdb.org/t/p/w500/rMgG7cWuq9O6zhhLs2CbqIKVA8V.jpg
슈퍼 마리오 갤럭시,"가족, 코미디, 모험, 판타지, 애니메이션",2026,8.2,261279,https://image.tmdb.org/t/p/w500/knaXOBDBecVBWZVup3zXaOoy23v.jpg
만달로리안과 그로구,"액션, 모험, SF",2026,6.8,256923,https://image.tmdb.org/t/p/w500/tMP99wq45GQMoeZwITgjAS8Wihm.jpg
마스터즈 오브 유니버스,"액션, 판타지, SF",2026,7.3,174796,https://image.tmdb.org/t/p/w500/u3g020QxrnsMdHDw0vvv1NjeFJA.jpg
리 크로닌의 미이라,"공포, 미스터리",2026,8.1,179868,https://image.tmdb.org/t/p/w500/zXlwtzXP80yc3X0VokdxvmsFQfw.jpg
데미지,"드라마, 로맨스",1992,6.6,181052,https://image.tmdb.org/t/p/w500/bc6ADs3tcdyQFrGrSsmujKSEPYo.jpg
뒤바뀐 친구들의 신비한 모험,"모험, 애니메이션, 가족, 판타지",2026,9.0,162990,https://image.tmdb.org/t/p/w500/uv0iRQXDbtWHo1zPk3TZNo4Biti.jpg
Vacanze per un massacro,"스릴러, 액션, 범죄",1980,5.0,156523,https://image.tmdb.org/t/p/w500/arRNmW27fs1TFsIBOwPYCfZQFJC.jpg
분노의 추격,"액션, 범죄",2026,8.0,162150,https://image.tmdb.org/t/p/w500/ftFM5P0ucyUwIEMs88oqxCpkzjf.jpg
프로젝트 헤일메리,"SF, 모험",2026,8.7,161443,https://image.tmdb.org/t/p/w500/qqGpVVZk2KD1lAvccgTU4Z6nh1H.jpg
퍼니셔 원 라스트 킬,"액션, 드라마, 범죄",2026,8.3,156574,https://image.tmdb.org/t/p/w500/dfKKipbQswChklXaaVTh6FP3oaJ.jpg
오피스 로맨스,"로맨스, 코미디",2026,6.5,152013,https://image.tmdb.org/t/p/w500/udcNzdIqZMiVYYvq50XDEPhpJks.jpg
나는 신혼 너는 재혼,드라마,2021,0.0,143320,https://image.tmdb.org/t/p/w500/wTFF1SFTDYL7M1yWjY0K8Ga5pZS.jpg
두란다르: 더 리벤지,"액션, 범죄, 스릴러",2026,7.3,141888,https://image.tmdb.org/t/p/w500/hsJG5r6etrMNwW00BVp4NC7zi67.jpg
톰 클랜시의 잭 라이언: 고스트 워,"액션, 스릴러",2026,7.1,133823,https://image.tmdb.org/t/p/w500/3PufRWSVgSVwIr9M5YOmx4gu5Fu.jpg
그래픽 디자이어,"스릴러, 범죄",2023,6.9,133788,https://image.tmdb.org/t/p/w500/8EHehEMsJVIPp2n2ROhZU8dbpJC.jpg
포풍추영,"액션, 범죄, 드라마, 스릴러",2025,7.8,131023,https://image.tmdb.org/t/p/w500/uiIT7CsJ4V7rMnTqy7xYvj9IRhs.jpg
우린 망했다,"코미디, 스릴러, 드라마",2026,6.7,127660,https://image.tmdb.org/t/p/w500/dpQIeEunpgj0C4rngb6OFb4zSd1.jpg
백룸,"공포, 미스터리, SF",2026,6.9,124280,https://image.tmdb.org/t/p/w500/c3Cb7h4ecFsGfUM02KF638kbbtC.jpg
호퍼스,"모험, 애니메이션, 코미디, 가족, SF",2026,8.2,119705,https://image.tmdb.org/t/p/w500/vJu9THzQ26Q5sWOVnhOkuRH5M1P.jpg
아바타: 불과 재,"SF, 모험, 판타지",2025,7.6,113867,https://image.tmdb.org/t/p/w500/l18o0AK18KS118tWeROOKYkF0ng.jpg
