title,artist,genre,year,salesPoint,category,country,currency,previewUrl,artworkUrl,trackViewUrl
Hype Boy,뉴진스,R&B Pop / Jersey Club,2022,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/85/f3/08/85f30899-e93c-35e2-4742-df57fc2d3552/mzaf_14134842621180071043.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/4e/64/34/4e64344b-3ac6-c503-2c41-257a15401416/192641873096_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/hype-boy/1635469682?i=1635469851&uo=4
첫 만남은 계획대로 되지 않아,투어스,Dance Pop,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/ac/8d/97/ac8d9717-2bbf-b1bf-b2e9-476feea6a480/mzaf_11615065500455071115.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/17/bb/d4/17bbd45f-fee7-a9dd-ff01-e7b174cc1462/196922759543_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EC%B2%AB-%EB%A7%8C%EB%82%A8%EC%9D%80-%EA%B3%84%ED%9A%8D%EB%8C%80%EB%A1%9C-%EB%90%98%EC%A7%80-%EC%95%8A%EC%95%84/1723932647?i=1723932648&uo=4
Attention,뉴진스,R&B Pop,2022,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/13/33/80/13338088-6e32-3cb4-818b-d3d5b4d46c60/mzaf_6427935611641023860.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/4e/64/34/4e64344b-3ac6-c503-2c41-257a15401416/192641873096_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/attention/1635469682?i=1635469694&uo=4
Magnetic,아일릿,Dance Pop / Synth Pop,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/e8/7e/67/e87e6795-4ada-2f65-d562-1fd2a3eddfdf/mzaf_11263458879279601822.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/3e/49/1e/3e491e43-4961-21ab-2abe-37fb1c0feb40/196922879227_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/magnetic/1734500886?i=1734500896&uo=4
How Sweet,뉴진스,Miami Bass / Dance Pop,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/4d/f8/ec/4df8ec06-579b-0b92-1c4d-d8714cc5d1bc/mzaf_8361635933595309894.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/bf/68/ca/bf68ca64-4acd-543f-bc78-455f11f06105/196922889738_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/how-sweet/1744448415?i=1744448416&uo=4
Whiplash,aespa,EDM / Electro House,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/91/84/e5/9184e5d0-54c8-eccc-e62c-e3175a88b396/mzaf_13467227653896090925.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/1a/26/5d/1a265da7-ff45-8df0-ee94-7b79becfc7d9/888735949562.png/100x100bb.jpg,https://music.apple.com/kr/album/whiplash/1772644600?i=1772644601&uo=4
Cookie,뉴진스,R&B Pop,2022,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/e5/7b/b0/e57bb09d-52c7-4fbd-1cd4-34c5bf3191fd/mzaf_15060284439168925693.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/4e/64/34/4e64344b-3ac6-c503-2c41-257a15401416/192641873096_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/cookie/1635469682?i=1635469854&uo=4
Drama,aespa,Dance Pop / Hip Hop,2023,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/1f/dc/9b/1fdc9b25-04dd-515c-b5da-8dc132ed39b6/mzaf_5682330302212897053.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f7/f0/5c/f7f05ce4-e5a4-900d-e087-1dd9668b2b34/888735945939.jpg/100x100bb.jpg,https://music.apple.com/kr/album/drama/1715939930?i=1715939931&uo=4
ELEVEN,아이브,Dance Pop,2021,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/8e/03/cb/8e03cbac-abc9-248c-a739-d01ccde2540b/mzaf_4435610194734657545.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/d3/63/4a/d3634a37-8dd2-8fc6-d138-895b3d237611/IVE_OnlineCover_fix.jpg/100x100bb.jpg,https://music.apple.com/kr/album/eleven/1597404250?i=1597404252&uo=4
Welcome to the Show,데이식스,Pop Rock,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/67/0c/69/670c697b-b943-1148-95ba-5733b70e3042/mzaf_14041457009119207683.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/42/fb/af/42fbaf16-efe2-4e1f-2e5e-bb42c2bdc281/DAY6_Fourever_Online_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/welcome-to-the-show/1731955732?i=1731955737&uo=4
